entidad,mun,pob_tot,p_15ymas,p_6a14,p15ym_an,p_6a14_noa,p_15ymas_edbasinc,psinder,vivpar_hab,vph_pisoti,vph_excsa,vph_aguafv,vph_nodren,vph_s_elec,vph_lavad,vph_refri,vph_cel,vph_pc,vph_inter,vph_tv
07,07093,43593,24364,11075,5331,847,18993,3833,7832,1440,7699,714,2693,219,109,234,1333,40,22,2869
07,07094,43175,26357,9865,6716,1497,20667,6732,9236,1131,9007,534,1036,244,2505,2851,5547,390,224,6054
07,07096,77554,48587,17264,11948,899,30214,13126,15960,4016,15665,2397,3752,802,876,4423,3585,410,156,7681
07,07097,89178,63057,15448,6509,552,28690,13047,23721,878,22872,3845,777,284,14683,19829,17319,2855,2087,20790
07,07098,7284,4767,1452,1396,109,3075,806,1647,136,1573,24,86,37,318,828,567,24,7,1272
07,07099,76917,52436,14193,8151,917,37380,9721,18474,1940,18117,4498,3451,249,6867,11242,9348,791,308,14388
07,07100,34305,21391,7662,6221,490,13765,4717,6827,1037,6470,2051,1967,404,192,1438,582,152,23,3146
07,07101,598710,448541,87411,19227,4180,119743,137937,160210,3205,159606,11833,874,293,112178,146628,147577,65775,62555,153666
07,07102,41823,29035,7661,3263,237,11809,8398,10319,1448,9923,2546,410,168,3310,7819,7418,1219,1078,8884
07,07103,31755,21151,6379,2471,304,11101,6656,7568,502,7132,1240,507,89,2167,4971,4612,427,685,6114
07,07104,15316,10829,2687,1956,192,7241,1125,4259,282,4103,541,176,66,2261,2894,2630,249,100,3644
07,07105,15350,10644,2855,1346,80,4847,2932,3693,267,3540,188,179,65,958,2044,2662,324,263,3111
07,07106,65009,44059,12744,9067,912,27845,8994,16385,1547,15432,1037,1116,238,7837,10522,8659,916,398,13807
07,07107,79003,54940,14244,9680,1293,30210,11794,20020,1236,18608,3138,1499,766,10703,14705,12300,1812,1511,17033
07,07108,104833,74528,18285,9748,1218,38560,15735,28017,1717,27143,2779,862,221,15134,22433,19554,3172,1839,24576
07,07109,37833,24331,7957,6489,1213,14879,6335,8558,1889,8203,825,912,528,1659,3687,4853,860,624,5532
07,07110,7202,4652,1473,1121,73,3083,368,1791,103,1744,305,58,38,389,847,568,19,6,1280
07,07111,41112,24983,9846,9123,1875,22075,6623,8055,619,7500,2406,1327,69,238,652,2905,72,46,4905
07,07112,34829,18672,9330,6402,808,14376,4146,6538,3253,6075,2029,3105,265,17,139,1265,17,23,1117
07,07113,6712,3571,1755,862,137,2827,830,1296,171,1262,159,226,23,3,30,227,1,3,323
07,07114,20193,12339,4626,2033,442,7613,4253,4430,414,4204,1305,500,163,1978,2840,2914,295,124,3016
07,07115,12945,7628,3029,1634,375,5797,1356,2505,395,2428,634,1299,146,400,930,284,70,28,1147
07,07116,11444,6839,2715,1432,272,4642,1714,2392,245,2267,856,308,60,711,1341,386,96,11,1441
07,07117,7682,4941,1541,849,75,3157,621,1582,266,1484,39,77,37,660,822,692,68,7,1202
07,07118,5163,2927,1267,881,156,2295,1356,1092,57,1067,20,61,12,13,174,107,1,0,311
07,07119,3684,2032,970,779,79,1450,71,702,151,700,95,65,0,2,20,247,2,3,170
08,,3492454,2509412,607152,66495,24109,817286,396624,1014491,15834,995955,23107,42407,16604,851134,950541,885634,395710,379865,964587
08,08001,12568,8598,2373,276,135,4616,1102,3640,33,3562,47,135,18,3158,3470,3190,945,773,3416
08,08002,24761,17591,4375,521,141,6578,1593,7235,28,7127,75,69,29,6417,6996,6538,2340,1910,7048
08,08003,8751,6868,1159,287,24,2905,1314,2746,21,2665,32,85,36,2350,2592,2056,735,588,2620
08,08004,15516,9971,3078,156,124,2905,955,4411,6,4383,10,20,4,3605,4217,4165,843,528,4361
08,08005,24966,16789,4911,584,440,9044,4927,6856,64,6649,78,362,65,5779,6407,5873,1453,1252,6353
08,08006,6156,4676,948,252,32,3085,515,2132,13,2068,14,284,12,1886,2057,1797,298,64,2010
08,08007,16824,10951,3552,2845,699,7960,4282,4139,487,3255,1260,2212,897,1136,1860,2102,316,180,2270
08,08008,11289,6914,2488,2352,567,5673,1447,2585,1125,1198,1058,2085,1197,253,645,514,64,10,779
08,08009,27909,19419,5363,2427,247,10925,4140,8401,752,7591,2008,3864,1667,3244,4529,5036,1131,905,5626
08,08011,51572,38333,8202,1033,271,12550,3999,15144,72,14857,116,193,56,13221,14497,12992,4773,4424,14746
08,08013,11432,8217,2008,266,68,3842,1265,3474,16,3400,71,392,39,2918,3138,2741,766,595,3235
08,08014,2096,1622,271,76,4,753,159,681,6,665,4,12,8,560,663,457,87,31,654
08,08015,1684,1288,240,98,24,839,226,582,7,555,25,35,17,438,527,424,49,19,521
08,08016,3861,2823,663,78,17,1164,391,1137,6,1096,9,32,13,1014,1092,937,265,78,1099
08,08017,168482,120161,29468,2796,1628,50121,20016,50037,167,49457,440,1084,198,44005,47729,45829,19533,16802,45318
08,08018,4594,3470,697,197,85,2550,456,1500,16,1450,13,201,28,1256,1395,1252,208,39,1259
08,08019,878062,655142,135698,6475,3171,137255,69176,264414,1318,262977,2607,1562,425,238374,258957,244115,137219,135572,260839
08,08020,7501,5063,1501,513,69,3143,955,1929,373,1733,290,1112,276,553,860,945,197,47,1233
08,08021,148045,109470,24404,2150,476,31885,14583,44907,129,44546,236,166,105,39843,43822,40544,16974,17062,44057
08,08022,2491,2039,293,129,10,1368,218,915,10,893,14,32,6,791,888,568,110,14,863
08,08023,6021,3927,1206,266,153,2194,1371,1568,8,1525,5,75,13,1323,1457,1380,290,203,1489
08,08025,8905,6578,1451,206,27,3279,217,2954,12,2893,21,245,8,2632,2826,2377,766,545,2896
08,08026,2466,1968,323,149,14,1306,157,860,11,826,5,43,9,733,829,602,99,50,808
08,08027,45544,29457,9707,6220,997,18371,5374,11502,1531,9219,3647,6265,3762,2953,4172,5230,1426,877,5371
08,08028,5272,3646,1129,139,30,1961,575,1592,10,1571,36,119,8,1359,1526,1268,210,185,1550
08,08029,56130,35278,12241,6754,1376,24568,9115,12811,3357,10436,1615,6927,3510,2228,3963,6136,818,355,6312
